questions,target
"""what is your name""","""my name is jarvice"""
"""what would be your  name""","""my name is jarvice"""
"""how are you""","""I?m fine"
"""I love you""","""thank you"""
"""I want to love you""","""thank you"""
"""you are the love of my life""","""thank you"""
"""thank you""","""you welcome"""
"""sorrry""","""you welcome"""
"""I like you""","""you welcome"""
"""today is a good day""","""yes it is"
"""whats for lunch""","""I?m"
"""are you good""","""I?m fine"
"""are you ok""","""I?m fine"
"""what is the time""","""the time is """
what is today's date,"""the date is"""
"""what time is  now""","""the time is """
"""what could be todays date""","""the date is"""
"""the time is ""","""the time is """
"""the date is""","""the date is"""
"""hai jhkujuhj ,khnk nkjbn""","""giberish"""
"""this is godeasjhffh""","""giberish"""
"""1684 jafjn lkakjms""","""giberish"""
"""gomodgat gi lksj motedr""","""giberish"""
"""to my girendj""","""giberish"""
